date,headline,ticker,source,neg,neu,pos,compound,sentiment_label
2026-02-19,Apple Stock (AAPL) Sinks on Reports It’s Being Sued Over Child Sexual Abuse Material - TipRanks,AAPL,Google RSS,0.219,0.781,0.0,-0.6369,negative
2026-02-21,"Stock Market Week: Nvidia Earnings, Apple And Strategy Events - Investor's Business Daily",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Meet the Most Profitable Company in America (It’s Not Apple or Microsoft) - 24/7 Wall St.,AAPL,Google RSS,0.0,0.824,0.176,0.4927,positive
2026-02-19,"As Apple Tests AI Devices, Should You Buy AAPL Stock Here? - Yahoo Finance",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Apple: Why I'm Finally Turning Bullish (Rating Upgrade) (NASDAQ:AAPL) - Seeking Alpha,AAPL,Google RSS,0.0,0.676,0.324,0.5859,positive
2026-02-21,Is Apple a potential Mag 7 haven if the AI capex boom becomes a bust? (AAPL:NASDAQ) - Seeking Alpha,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,"‘This Time It’s Different,’ Says Daniel Ives About Apple Stock (AAPL) - TipRanks",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,"Memory crunch looms over hardware makers, but Apple receives bullish sentiment: Evercore - Seeking Alpha",AAPL,Google RSS,0.074,0.741,0.185,0.4497,positive
2026-02-17,"Berkshire Hathaway trims Apple stake, buys NYTimes stock in Buffett's last moves as CEO - CNBC",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-17,Apple Stock Is Big Tech’s ’Safe Haven’ - Barron's,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-19,Apple (AAPL) is a Top-Ranked Growth Stock: Should You Buy? - Nasdaq,AAPL,Google RSS,0.0,0.809,0.191,0.3818,positive
2026-02-17,Why Apple Stock’s 2026 Rally Is Under Threat - Forbes,AAPL,Google RSS,0.248,0.584,0.168,-0.2732,negative
2026-02-16,Should You Buy Apple Stock While It's Under $270? - The Motley Fool,AAPL,Google RSS,0.195,0.805,0.0,-0.4404,negative
2026-02-22,How Apple’s Lazy AI Strategy Could Crush the Competition - 24/7 Wall St.,AAPL,Google RSS,0.272,0.728,0.0,-0.4767,negative
2026-02-18,"Apple Decouples From Nasdaq, Offering Alternative to AI-Fueled Volatility - Bloomberg",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Is Apple Stock a Buy After Last Week’s 8% Drop? - TIKR.com,AAPL,Google RSS,0.16,0.84,0.0,-0.2732,negative
2026-02-18,This Option Turns Apple's Cup With Handle Into Income Opportunity - Investor's Business Daily,AAPL,Google RSS,0.0,0.823,0.177,0.4215,positive
2026-02-19,"Ignore the Panic and Keep Buying Apple Stock, According to Wedbush - Barchart.com",AAPL,Google RSS,0.345,0.655,0.0,-0.7003,negative
2026-02-18,Prediction: 3 Stocks That Will Be Worth More Than Apple 3 Years From Now - The Motley Fool,AAPL,Google RSS,0.139,0.769,0.091,-0.25,negative
2026-02-18,"Amazon, Bank of America, and Apple Stocks Shrug Off Berkshire Sales. Why They’re Rising. - Barron's",AAPL,Google RSS,0.0,0.898,0.102,0.1779,positive
2026-02-18,"In a Vote of Confidence for Apple Stock, It Is Berkshire Hathaway's Biggest Investment as Warren Buffett Steps Down as CEO - Yahoo Finance",AAPL,Google RSS,0.0,0.875,0.125,0.5106,positive
2026-02-18,Apple’s Stock Is the Anti-AI Play in This Market - Bloomberg,AAPL,Google RSS,0.0,0.806,0.194,0.34,positive
2026-02-18,Why Apple Stock Rose Today - The Motley Fool,AAPL,Google RSS,0.266,0.734,0.0,-0.4404,negative
2026-02-16,"Apple Stock Is Interesting, but Here's What I'd Buy Instead - The Motley Fool",AAPL,Google RSS,0.218,0.678,0.105,-0.4588,negative
2026-02-19,"As Apple Tests AI Devices, Should You Buy AAPL Stock Here? - Barchart.com",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,Apple stock quietly moves on a surprising Al hardware bet - thestreet.com,AAPL,Google RSS,0.0,0.84,0.16,0.2732,positive
2026-02-22,Apple Obliterated Tariff Headwinds - The Supreme Court Decision Doesn’t Matter (AAPL) - Seeking Alpha,AAPL,Google RSS,0.157,0.606,0.237,0.1531,positive
2026-02-20,Apple: Margin Pressure And Lack Of Innovation (Rating Downgrade) - Seeking Alpha,AAPL,Google RSS,0.391,0.46,0.149,-0.4939,negative
2026-02-18,Apple: The Tech Giant To Sell - Seeking Alpha,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
